genres,rated,title,countries,year,type,languages,imdb_rating,rt_rating,decade
Drama,PASSED,"Laugh, Clown, Laugh",USA,1928,movie,Inconnu,7.8,4.1,1930
Documentary,NOT RATED,Man with a Movie Camera,Soviet Union,1929,movie,Inconnu,8.4,4.1,1930
Crime,NA,Little Caesar,USA,1931,movie,English,7.4,3.6,1930
Drama,UNRATED,The Jazz Singer,USA,1927,movie,English,6.9,3.3,1930
Drama,PASSED,Four Sons,USA,1928,movie,English,7,3.7,1930
Drama,PASSED,Hallelujah,USA,1929,movie,English,7,3.2,1930
Romance,PASSED,The Divorcee,USA,1930,movie,English,6.9,3.5,1930
Comedy,NOT RATED,Seven Chances,USA,1925,movie,English,8,4.1,1920
Action,NOT RATED,"Steamboat Bill, Jr.",USA,1928,movie,English,8,4.1,1930
Drama,NA,Asphalt,Germany,1929,movie,German,7.6,3.8,1930
Adventure,NA,The Black Pirate,USA,1926,movie,Inconnu,7.2,3.3,1930
Comedy,NOT RATED,The Kid Brother,USA,1927,movie,English,7.6,4,1930
Drama,NOT RATED,The Crowd,USA,1928,movie,Inconnu,7.9,4.2,1930
Drama,PASSED,The Big House,USA,1930,movie,English,7.2,3.6,1930
Drama,APPROVED,Romance,USA,1930,movie,English,6,3.5,1930
Drama,NA,The Wedding March,USA,1928,movie,Inconnu,7.5,3.8,1930
Adventure,PASSED,The Son of the Sheik,USA,1926,movie,English,7.5,3.5,1930
Drama,NOT RATED,The Wind,USA,1928,movie,English,8.4,4.1,1930
Animation,NA,King of Jazz,USA,1930,movie,English,7.5,3.5,1930
Crime,NOT RATED,The Docks of New York,USA,1928,movie,English,7.7,4,1930
Short,UNRATED,The Fall of the House of Usher,USA,1928,movie,Inconnu,7,3.6,1930
Action,NA,Beau Geste,USA,1926,movie,English,6.9,3.6,1930
Biography,PASSED,Disraeli,USA,1929,movie,English,6.5,2.5,1930
Drama,PASSED,Queen Kelly,USA,1929,movie,Inconnu,7.9,3.4,1930
Drama,NA,David Golder,France,1931,movie,French,6.7,3.6,1930
Comedy,TV-G,The Devil to Pay!,USA,1930,movie,English,6.7,3.3,1930
Horror,UNRATED,The Phantom of the Opera,USA,1925,movie,Inconnu,7.7,3.8,1920
Drama,NOT RATED,Flesh and the Devil,USA,1926,movie,Inconnu,8.1,3.9,1930
Drama,NA,Storm Over Asia,Soviet Union,1928,movie,Russian,7.4,NA,1930
Musical,PASSED,The Broadway Melody,USA,1929,movie,English,6.4,2.8,1930
